year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2008,10,5,15,52,49.4,8160,27,6.6,0,KYRGYZSTAN,,39.533,73.824,40,74,2,0,0,140,3,0,2,0,2,0,0,74,0,140,0,0,0,KYRGYZSTAN: NURA
2008,10,6,8,30,45.5,8161,12,6.3,0,CHINA,,29.807,90.35,40,9,1,0,0,19,1,0,2,0,3,0,0,9,0,19,0,0,0,CHINA:  TIBET (XIZANG PROVINCE)
2008,10,11,9,6,10.7,8162,16,5.7,0,RUSSIA,,43.372,46.254,40,13,1,0,0,100,2,0,3,0,0,1027,4,13,0,100,0,0,1027,RUSSIA:  CAUCASUS:  CHECHNYA
2008,10,28,23,9,57.6,8177,15,6.4,0,PAKISTAN,,30.639,67.351,60,166,3,0,0,370,3,0,4,3487,4,3487,4,166,0,370,0,3487,4125,PAKISTAN:  QUETTA
2008,10,29,11,32,43.1,8206,14,6.4,0,PAKISTAN,,30.598,67.455,60,0,0,0,0,1,1,0,2,0,2,0,2,0,0,1,0,0,0,PAKISTAN:  ZIARAT
2008,11,10,1,22,2.5,8207,19,6.3,0,CHINA,,37.565,95.833,40,0,0,0,0,3,1,4,2,0,2,0,2,0,0,3,4,0,0,CHINA:  QINGHAI PROVINCE
2008,11,16,17,2,32.7,8191,30,7.3,0,INDONESIA,,1.271,122.091,170,6,1,0,0,77,2,0,3,0,0,1000,3,6,0,77,0,0,1000,INDONESIA:  MINAHASSA PENINSULA
2008,11,19,6,11,20.7,8192,32,6.1,0,PANAMA,,8.267,-82.967,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"PANAMA:  PASO CANOA, DAVID, PUERTO ARMUELLES"
2008,11,22,22,27,55.1,8208,0,4.1,0,CZECH REPUBLIC,,49.914,18.455,110,2,1,0,0,3,1,0,1,0,0,0,0,2,0,3,0,0,0,CZECH REPUBLIC:  KARVINA
2008,12,7,13,36,21.3,8253,15,5.4,0,IRAN,,26.99,55.8,140,0,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,IRAN:  S
2008,12,9,18,53,11.1,8254,25,4.5,0,CHINA,,32.518,105.395,30,2,1,0,0,3,1,0,0,0,0,0,0,2,0,3,0,0,0,CHINA:  SICHUAN PROVINCE
2008,12,10,10,53,50.0,8255,10,4.1,0,ARGENTINA,,-32.938,-69.259,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ARGENTINA:  POTRERILLOS
2008,12,25,20,20,51.5,8256,35,4.7,0,MYANMAR (BURMA),,23.97,97.569,60,0,0,0,0,19,1,0,3,30,1,30,1,0,0,19,0,30,5400,MYANMAR (BURMA)
2008,12,25,20,20,51.5,9834,35,4.8,0,CHINA,,23.97,97.569,30,0,0,0,0,19,1,0,2,30,1,5400,4,0,0,19,0,30,5400,CHINA:  YUNNAN PROVINCE:  SIMAO
2008,12,29,3,37,41.7,8257,158,5.8,0,AFGHANISTAN,,36.401,71.075,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AFGHANISTAN; PAKISTAN:  MANSEHRA, SHANGLA"
